pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
400,335.16,1.2*threshold,18,0.19070499999999999
400,335.16,1.2*threshold,18,0.19335999999999998
400,335.16,1.2*threshold,18,0.19826999999999997
400,335.16,1.2*threshold,18,0.21585
400,335.16,1.2*threshold,18,0.21845499999999998
400,335.16,1.2*threshold,18,0.22091499999999997
400,335.16,1.2*threshold,18,0.22586499999999998
400,335.16,1.2*threshold,18,0.228395
400,335.16,1.2*threshold,18,0.23084999999999997
400,335.16,1.2*threshold,18,0.23339999999999997
400,335.16,1.2*threshold,18,0.24567499999999998
400,335.16,1.2*threshold,18,0.25572999999999996
400,335.16,1.2*threshold,18,0.25847
400,335.16,1.2*threshold,18,0.26093
400,335.16,1.2*threshold,18,0.26576999999999995
400,335.16,1.2*threshold,18,0.270835
400,335.16,1.2*threshold,18,0.27331999999999995
400,335.16,1.2*threshold,18,0.27585
400,335.16,1.2*threshold,18,0.278385
400,335.16,1.2*threshold,18,0.28574499999999997
400,335.16,1.2*threshold,18,0.288145
400,335.16,1.2*threshold,18,0.29089
400,335.16,1.2*threshold,18,0.29342999999999997
400,335.16,1.2*threshold,18,0.29568
400,335.16,1.2*threshold,19,0.008454999999999999
400,335.16,1.2*threshold,19,0.035855
400,335.16,1.2*threshold,19,0.040889999999999996
400,335.16,1.2*threshold,19,0.04841499999999999
400,335.16,1.2*threshold,19,0.050875
400,335.16,1.2*threshold,19,0.060844999999999996
400,335.16,1.2*threshold,19,0.06813999999999999
400,335.16,1.2*threshold,19,0.08578999999999999
400,335.16,1.2*threshold,19,0.09848
400,335.16,1.2*threshold,19,0.10088
400,335.16,1.2*threshold,19,0.10317
400,335.16,1.2*threshold,19,0.11093499999999999
400,335.16,1.2*threshold,19,0.113395
400,335.16,1.2*threshold,19,0.11588999999999999
400,335.16,1.2*threshold,19,0.1234
400,335.16,1.2*threshold,19,0.12589499999999998
400,335.16,1.2*threshold,19,0.13080999999999998
400,335.16,1.2*threshold,19,0.13327999999999998
